ID,Date,Team,Acquired,Relinquished,Notes
8595,03/03/2006,Suns,, Kurt Thomas,placed on IL with stress fracture in right foot
8596,03/03/2006,Nuggets,, Howard Eisley,placed on IL
8597,04/03/2006,Bucks,, Jermaine Jackson,placed on IL
8598,04/03/2006,Bucks, Maurice Williams / Mo Williams,,activated from IL
8599,04/03/2006,Heat,, Dwyane Wade,placed on IL with sprained wrist
8600,04/03/2006,Heat, Derek Anderson,,activated from IL
8601,04/03/2006,Magic,, Charles Outlaw / Bo Outlaw,placed on IL
8602,04/03/2006,Magic, Grant Hill,,activated from IL
8603,04/03/2006,Nuggets,, Kenyon Martin Sr.,placed on IL with knee injury
8604,04/03/2006,Nuggets, Howard Eisley,,activated from IL
8605,05/03/2006,Bulls,, Malik Allen,placed on IL with sprained neck
8606,05/03/2006,Clippers,, Vin Baker,placed on IL
8607,05/03/2006,Clippers, James Singleton,,activated from IL
8608,05/03/2006,Jazz,, C.J. Miles,placed on IL
8609,05/03/2006,Jazz, Robert Whaley,,activated from IL
8610,05/03/2006,Mavericks,, Keith Van Horn,placed on IL with sprained MCL in left knee
8611,05/03/2006,Mavericks, Josh Powell,,activated from IL
8612,05/03/2006,Rockets,, Maciej Lampe,placed on IL
8613,05/03/2006,Rockets, Rick Brunson,,activated from IL
8614,06/03/2006,Bobcats,, Bernard Robinson,placed on IL with stomach virus
8615,06/03/2006,Bobcats, Kevin Burleson,,activated from IL
8616,06/03/2006,Grizzlies,, Brian Cardinal,placed on IL
8617,06/03/2006,Grizzlies,, Eddie Jones,placed on IL
8618,06/03/2006,Grizzlies, Anthony Roberson,,activated from IL
8619,06/03/2006,Grizzlies, Lawrence Roberts,,activated from IL
8620,06/03/2006,Hornets,, Arvydas Macijauskas,placed on IL
8621,06/03/2006,Hornets,, Brandon Bass,placed on IL
8622,06/03/2006,Hornets, Craig Claxton / Speedy Claxton,,activated from IL
8623,06/03/2006,Hornets, J.R. Smith,,activated from IL
8624,06/03/2006,Lakers,, Devin Green,placed on IL
8625,06/03/2006,Magic,, Grant Hill,placed on IL with lower abdominal pain
8626,06/03/2006,Magic, Travis Diener,,activated from IL
8627,07/03/2006,Blazers,, Ha Seung-Jin,placed on IL
8628,07/03/2006,Blazers, Theo Ratliff,,activated from IL
8629,07/03/2006,Bulls,, Michael Sweetney / Mike Sweetney,placed on IL
8630,07/03/2006,Bulls, Malik Allen,,activated from IL
8631,07/03/2006,Hawks,, Tyronn Lue,placed on IL with sprained MCL in right knee
8632,07/03/2006,Hawks, Donta Smith,,activated from IL
8633,07/03/2006,Mavericks,, Josh Howard,placed on IL with strained hamstring
8634,07/03/2006,Mavericks, Devin Harris,,activated from IL
8635,07/03/2006,Raptors,, Antonio Davis,placed on IL
8636,07/03/2006,Raptors, Rafael Araujo,,activated from IL
8637,07/03/2006,Spurs,, Nick Van Exel,placed on IL
8638,07/03/2006,Spurs, Sean Marks,,activated from IL
8639,07/03/2006,Timberwolves,, Richie Frahm,placed on IL
8640,07/03/2006,Timberwolves, Ronald Dupree,,activated from IL
8641,07/03/2006,Wizards,, Jared Jeffries,placed on IL with injured left calf
8642,07/03/2006,Wizards, Billy Thomas,,activated from IL
8643,08/03/2006,Bobcats,, Kevin Burleson,placed on IL
8644,08/03/2006,Bobcats, Bernard Robinson,,activated from IL
8645,08/03/2006,Bucks,, Maurice Williams / Mo Williams,placed on IL
8646,08/03/2006,Bucks, Jermaine Jackson,,activated from IL
8647,08/03/2006,Heat,, Alonzo Mourning,placed on IL with sprained left foot
8648,08/03/2006,Heat, Dwyane Wade,,activated from IL
8649,08/03/2006,Hornets,, Martyn Norris / Moochie Norris,placed on IL
8650,08/03/2006,Hornets, Arvydas Macijauskas,,activated from IL
8651,08/03/2006,Lakers,, Devean George,placed on IL with fracture in right wrist
8652,08/03/2006,Lakers, Devin Green,,activated from IL
8653,08/03/2006,Sonics,, Nick Collison,placed on IL with partially torn plantar fascia in left foot
8654,10/03/2006,Heat,, Jason Kapono,placed on IL
8655,10/03/2006,Heat, Alonzo Mourning,,activated from IL
8656,10/03/2006,Hornets,, J.R. Smith,placed on IL
8657,10/03/2006,Hornets, Martyn Norris / Moochie Norris,,activated from IL
8658,10/03/2006,Magic,, Pat Garrity,placed on IL with shoulder injury
8659,10/03/2006,Magic,, Travis Diener,placed on IL
8660,10/03/2006,Magic, Charles Outlaw / Bo Outlaw,,activated from IL
8661,10/03/2006,Magic, Grant Hill,,activated from IL
8662,11/03/2006,Bobcats,, Kareem Rush,placed on IL with stomach virus
8663,11/03/2006,Bobcats, Kevin Burleson,,activated from IL
8664,11/03/2006,Bulls,, Darius Songaila,placed on IL with stress fracture in right foot (out 6-8 weeks)
8665,11/03/2006,Bulls, Michael Sweetney / Mike Sweetney,,activated from IL
8666,11/03/2006,Jazz,, Robert Whaley,placed on IL
8667,11/03/2006,Jazz, C.J. Miles,,activated from IL
8668,11/03/2006,Magic,, Grant Hill,placed on IL with abdominal strain
8669,11/03/2006,Magic, Travis Diener,,activated from IL
8670,12/03/2006,Celtics,, Michael Olowokandi,placed on IL with dental pain
8671,12/03/2006,Celtics, Kendrick Perkins,,activated from IL
8672,12/03/2006,Grizzlies,, Bobby Jackson,placed on IL with pulled rib muscle
8673,12/03/2006,Grizzlies, Eddie Jones,,activated from IL
8674,12/03/2006,Hornets,, Arvydas Macijauskas,placed on IL
8675,12/03/2006,Hornets, J.R. Smith,,activated from IL
8676,12/03/2006,Mavericks,, Devin Harris,placed on IL with strained left quadricep
8677,12/03/2006,Mavericks, Josh Howard,,activated from IL
8678,12/03/2006,Nuggets,, Howard Eisley,placed on IL
8679,12/03/2006,Nuggets, Kenyon Martin Sr.,,activated from IL
8680,12/03/2006,Rockets,, Tracy McGrady,placed on IL with sore back
8681,12/03/2006,Rockets, Maciej Lampe,,activated from IL
8682,13/03/2006,Bucks,, Jermaine Jackson,placed on IL
8683,13/03/2006,Bucks, Maurice Williams / Mo Williams,,activated from IL
8684,13/03/2006,Knicks,, Eddy Curry,placed on IL with stomach virus
8685,13/03/2006,Knicks, Nate Robinson,,activated from IL
8686,14/03/2006,Bobcats,, Kevin Burleson,placed on IL
8687,14/03/2006,Bobcats, Kareem Rush,,activated from IL
8688,14/03/2006,Bulls,, Chris Duhon,placed on IL with sore back
8689,14/03/2006,Bulls, Eddie Basden,,activated from IL
8690,14/03/2006,Hornets,, Martyn Norris / Moochie Norris,placed on IL
8691,14/03/2006,Hornets, Brandon Bass,,activated from IL
8692,14/03/2006,Lakers,, Chris Mihm,placed on IL with sprained right ankle
8693,14/03/2006,Lakers, Aaron McKie,,activated from IL
8694,14/03/2006,Mavericks,, Josh Howard,placed on IL with strained left hamstring
8695,14/03/2006,Mavericks, Keith Van Horn,,activated from IL
8696,14/03/2006,Raptors,, Eric Williams,placed on IL
8697,14/03/2006,Raptors, Alvin Williams,,activated from IL
8698,14/03/2006,Wizards,, Billy Thomas,placed on IL
8699,14/03/2006,Wizards, Jared Jeffries,,activated from IL
8700,15/03/2006,Blazers,, Juan Dixon,placed on IL with left knee tendinitis
8701,15/03/2006,Blazers, Joel Przybilla,,activated from IL
8702,15/03/2006,Bobcats,, Gerald Wallace,placed on IL with sprained left ankle
8703,15/03/2006,Bobcats, Kevin Burleson,,activated from IL
8704,15/03/2006,Clippers,, James Singleton,placed on IL
8705,15/03/2006,Clippers, Yaroslav Korolev,,activated from IL
8706,15/03/2006,Knicks,, Quentin Richardson,placed on IL with sprained thumb
8707,15/03/2006,Knicks, Eddy Curry,,activated from IL
8708,15/03/2006,Nuggets,, Kenyon Martin Sr.,placed on IL with left knee tendinitis
8709,15/03/2006,Nuggets, Howard Eisley,,activated from IL
8710,15/03/2006,Raptors,, Jose Calderon,placed on IL
8711,15/03/2006,Raptors, Eric Williams,,activated from IL
8712,15/03/2006,Timberwolves,, Eddie Griffin,placed on IL
8713,15/03/2006,Timberwolves, Richie Frahm,,activated from IL
8714,16/03/2006,Timberwolves, Eddie Griffin,,activated from IL
8715,17/03/2006,Blazers,, Theo Ratliff,placed on IL
8716,17/03/2006,Blazers, Ha Seung-Jin,,activated from IL
8717,17/03/2006,Celtics,, Dwayne Jones,placed on IL
8718,17/03/2006,Celtics, Michael Olowokandi,,activated from IL
8719,17/03/2006,Clippers,, Yaroslav Korolev,placed on IL
8720,17/03/2006,Clippers, James Singleton,,activated from IL
8721,17/03/2006,Kings,, Jason Hart,placed on IL
8722,17/03/2006,Kings, Jamal Sampson,,activated from IL
8723,17/03/2006,Nuggets,, Earl Boykins,placed on IL with fractured left hand
8724,17/03/2006,Nuggets, Julius Hodge,,activated from IL
8725,17/03/2006,Spurs,, Sean Marks,placed on IL
8726,18/03/2006,Blazers,, Ha Seung-Jin,placed on IL
8727,18/03/2006,Blazers, Juan Dixon,,activated from IL
8728,18/03/2006,Bobcats,, Kevin Burleson,placed on IL
8729,18/03/2006,Bobcats, Gerald Wallace,,activated from IL
8730,18/03/2006,Bucks,, Maurice Williams / Mo Williams,placed on IL with sprained left ankle
8731,18/03/2006,Bucks, Jermaine Jackson,,activated from IL
8732,18/03/2006,Bulls,, Eddie Basden,placed on IL
8733,18/03/2006,Bulls, Chris Duhon,,activated from IL
8734,18/03/2006,Hornets,, Brandon Bass,placed on IL
8735,18/03/2006,Hornets,, Desmond Mason,placed on IL with sprained MCL in left knee
8736,18/03/2006,Hornets, Arvydas Macijauskas,,activated from IL
8737,18/03/2006,Hornets, Martyn Norris / Moochie Norris,,activated from IL
8738,18/03/2006,Nuggets, Kenyon Martin Sr.,,activated from IL
8739,19/03/2006,Grizzlies,, Anthony Roberson,placed on IL
8740,19/03/2006,Grizzlies, Bobby Jackson,,activated from IL
8741,19/03/2006,Kings,, Jamal Sampson,placed on IL
8742,19/03/2006,Kings, Jason Hart,,activated from IL
8743,19/03/2006,Lakers,, Aaron McKie,placed on IL with strained left quadriceps
8744,19/03/2006,Lakers, Devean George,,activated from IL
8745,19/03/2006,Warriors,, Baron Davis,placed on IL with sprained right ankle
8746,20/03/2006,Lakers,, Devin Green,placed on IL
8747,20/03/2006,Lakers, Aaron McKie,,activated from IL
8748,20/03/2006,Rockets,, David Wesley,placed on IL with cracked ribs
8749,21/03/2006,Bobcats,, Brevin Knight,placed on IL with sore groin
8750,21/03/2006,Bobcats, Kevin Burleson,,activated from IL
8751,21/03/2006,Hornets,, Arvydas Macijauskas,placed on IL
8752,21/03/2006,Hornets, Brandon Bass,,activated from IL
8753,21/03/2006,Kings,, Sergei Monia,placed on IL
8754,21/03/2006,Kings, Francisco Garcia,,activated from IL
8755,21/03/2006,Knicks,, Malik Rose,placed on IL with sprained right ankle
8756,21/03/2006,Knicks, Quentin Richardson,,activated from IL
8757,21/03/2006,Suns,, Dijon Thompson,placed on IL with right knee injury
8758,21/03/2006,Wizards,, Awvee Storey,placed on IL
8759,21/03/2006,Wizards, Billy Thomas,,activated from IL
8760,23/03/2006,Grizzlies,, Iakovos Tsakalidis / Jake Tsakalidis,placed on IL with sprained left thumb
8761,23/03/2006,Grizzlies, Brian Cardinal,,activated from IL
8762,23/03/2006,Knicks, Malik Rose,,activated from IL
8763,23/03/2006,Suns, Amare Stoudemire / Amar'e Stoudemire,,activated from IL
8764,23/03/2006,Suns, Brian Grant,,activated from IL
8765,24/03/2006,76ers,, Willie Green,placed on IL
8766,24/03/2006,Blazers,, Darius Miles,placed on IL with death in family
8767,24/03/2006,Blazers, Ha Seung-Jin,,activated from IL
8768,24/03/2006,Bobcats,, Kevin Burleson,placed on IL
8769,24/03/2006,Bobcats, Brevin Knight,,activated from IL
8770,24/03/2006,Bucks,, T.J. Ford,placed on IL with strained left quadriceps
8771,24/03/2006,Bucks, Reece Gaines,,activated from IL
8772,24/03/2006,Bulls,, Malik Allen,placed on IL with sore back
8773,24/03/2006,Bulls, Eric Piatkowski,,activated from IL
8774,24/03/2006,Celtics,, Al Jefferson,placed on IL with sprained right ankle
8775,24/03/2006,Celtics, Michael Olowokandi,,activated from IL
8776,24/03/2006,Heat,, Alonzo Mourning,placed on IL with partially torn right calf muscle
8777,24/03/2006,Heat, Earl Barron,,activated from IL
8778,24/03/2006,Hornets,, Brandon Bass,placed on IL
8779,24/03/2006,Hornets, Arvydas Macijauskas,,activated from IL
8780,24/03/2006,Knicks,, Quentin Richardson,placed on IL
8781,24/03/2006,Pistons,, Jason Maxiell,placed on IL
8782,24/03/2006,Pistons, Kelvin Cato,,activated from IL
8783,25/03/2006,Clippers,, Boniface N'Dong,placed on IL
8784,25/03/2006,Clippers, Vin Baker,,activated from IL
8785,25/03/2006,Hawks, Tyronn Lue,,activated from IL
8786,25/03/2006,Kings,, Kevin Martin,placed on IL with strained right thigh
8787,25/03/2006,Kings, Sergei Monia,,activated from IL
8788,25/03/2006,Wizards,, Andray Blatche,placed on IL
8789,25/03/2006,Wizards, Awvee Storey,,activated from IL
8790,26/03/2006,Bobcats,, Raymond Felton,placed on IL with abdominal injury
8791,26/03/2006,Bobcats, Kevin Burleson,,activated from IL
8792,26/03/2006,Clippers,, Cuttino Mobley,placed on IL with sprained right ankle
8793,26/03/2006,Clippers, Boniface N'Dong,,activated from IL
8794,26/03/2006,Lakers,, Andrew Bynum,placed on IL with sprained right foot
8795,26/03/2006,Lakers, Devin Green,,activated from IL
8796,27/03/2006,Blazers, Darius Miles,,activated from IL
8797,28/03/2006,Bobcats,, Primoz Brezec,placed on IL with back spasms
8798,28/03/2006,Bobcats, Raymond Felton,,activated from IL
8799,28/03/2006,Bucks,, Reece Gaines,placed on IL
8800,28/03/2006,Bucks, Maurice Williams / Mo Williams,,activated from IL
8801,28/03/2006,Bulls,, Eric Piatkowski,placed on IL
8802,28/03/2006,Bulls, Malik Allen,,activated from IL
8803,28/03/2006,Clippers,, James Singleton,placed on IL
8804,28/03/2006,Clippers, Zeljko Rebraca,,activated from IL
8805,28/03/2006,Hawks,, Salim Stoudamire,placed on IL with sprained right elbow
8806,28/03/2006,Magic,, Travis Diener,placed on IL
8807,28/03/2006,Magic, Pat Garrity,,activated from IL
8808,28/03/2006,Nuggets, Eduardo Najera,,activated from IL
8809,28/03/2006,Spurs,, (William) Tony Parker,placed on IL with sore right shin
8810,28/03/2006,Spurs, Nick Van Exel,,activated from IL
8811,28/03/2006,Wizards,, Brendan Haywood,placed on IL with back spasms
8812,28/03/2006,Wizards,, Gilbert Arenas,placed on IL with flu
8813,28/03/2006,Wizards, Andray Blatche,,activated from IL
8814,28/03/2006,Wizards, Jarvis Hayes,,activated from IL
8815,29/03/2006,Heat,, Shaquille O'Neal,placed on IL with hyperextended left knee
8816,29/03/2006,Heat, Jason Kapono,,activated from IL
8817,29/03/2006,Hornets,, Arvydas Macijauskas,placed on IL
8818,29/03/2006,Hornets, Brandon Bass,,activated from IL
8819,29/03/2006,Nuggets,, Marcus Camby,placed on IL with strained back
8820,29/03/2006,Raptors,, Chris Bosh,placed on IL with sprained left thumb
8821,30/03/2006,Pacers,, Jermaine O'Neal,placed on IL with groin injury
8822,30/03/2006,Spurs,, Beno Udrih,placed on IL with sprained left ankle
8823,30/03/2006,Spurs, (William) Tony Parker,,activated from IL
8824,31/03/2006,Bobcats,, Kevin Burleson,placed on IL
8825,31/03/2006,Bobcats, Primoz Brezec,,activated from IL
8826,31/03/2006,Hornets,, P.J. Brown,placed on IL with sprained left ankle
8827,31/03/2006,Mavericks,, Adrian Griffin,placed on IL with strained left hamstring
8828,31/03/2006,Mavericks, Josh Howard,,activated from IL
8829,31/03/2006,Nuggets,, Eduardo Najera,placed on IL with sore right knee
8830,31/03/2006,Nuggets, Marcus Camby,,activated from IL
8831,31/03/2006,Raptors,, James Lang,placed on IL
8832,31/03/2006,Raptors, Jose Calderon,,activated from IL
8833,31/03/2006,Wizards,, Jarvis Hayes,placed on IL
8834,31/03/2006,Wizards, Gilbert Arenas,,activated from IL
8835,01/04/2006,Bucks,, Jermaine Jackson,placed on IL
8836,01/04/2006,Bucks, T.J. Ford,,activated from IL
8837,01/04/2006,Pacers,, Stephen Jackson,placed on IL with sprained left ankle
8838,01/04/2006,Pacers, Jermaine O'Neal,,activated from IL
8839,02/04/2006,Bobcats, Kevin Burleson,,activated from IL
8840,02/04/2006,Heat,, James Posey,placed on IL with ankle tendinitis
8841,02/04/2006,Heat,, Jason Williams,placed on IL with knee tendinitis
8842,02/04/2006,Heat, Dorell Wright,,activated from IL
8843,02/04/2006,Heat, Shaquille O'Neal,,activated from IL
8844,02/04/2006,Kings,, Sergei Monia,placed on IL
8845,02/04/2006,Kings, Kevin Martin,,activated from IL
8846,02/04/2006,Mavericks,, Keith Van Horn,placed on IL with broken right hand
8847,02/04/2006,Mavericks, Adrian Griffin,,activated from IL
8848,02/04/2006,Nuggets,, Julius Hodge,placed on IL
8849,02/04/2006,Nuggets, Eduardo Najera,,activated from IL
8850,04/04/2006,76ers,, Louis Williams / Lou Williams,placed on IL
8851,04/04/2006,76ers, Willie Green,,activated from IL
8852,04/04/2006,Cavaliers,, Stephen Graham,placed on IL
8853,04/04/2006,Cavaliers, Larry Hughes,,activated from IL
8854,04/04/2006,Grizzlies,, Lawrence Roberts,placed on IL
8855,04/04/2006,Grizzlies, Iakovos Tsakalidis / Jake Tsakalidis,,activated from IL
8856,04/04/2006,Knicks,, Jalen Rose,placed on IL with plantar fasciaitis in left foot
8857,04/04/2006,Knicks, Quentin Richardson,,activated from IL
8858,04/04/2006,Pacers,, Fred Jones,placed on IL
8859,04/04/2006,Pacers, Stephen Jackson,,activated from IL
8860,04/04/2006,Wizards,, Awvee Storey,placed on IL
8861,04/04/2006,Wizards, Brendan Haywood,,activated from IL
8862,05/04/2006,Blazers,, Martell Webster,placed on IL with back spasms
8863,05/04/2006,Blazers, Theo Ratliff,,activated from IL
8864,05/04/2006,Bulls,, Randy Livingston,placed on IL
8865,05/04/2006,Bulls, Eric Piatkowski,,activated from IL
8866,05/04/2006,Cavaliers,, Zydrunas Ilgauskas,placed on IL with sprained left ankle
8867,05/04/2006,Cavaliers, Stephen Graham,,activated from IL
8868,05/04/2006,Clippers,, Vin Baker,placed on IL
8869,05/04/2006,Clippers, James Singleton,,activated from IL
8870,05/04/2006,Rockets,, Richie Frahm,placed on IL with strained left calf
8871,05/04/2006,Rockets, David Wesley,,activated from IL
8872,06/04/2006,Nuggets,, Kenyon Martin Sr.,placed on IL with knee tendinitis
8873,06/04/2006,Nuggets, Julius Hodge,,activated from IL
8874,07/04/2006,Blazers,, Joel Przybilla,placed on IL with swollen knee
8875,07/04/2006,Blazers, Martell Webster,,activated from IL
8876,07/04/2006,Clippers,, Corey Maggette,placed on IL with back spasms
8877,07/04/2006,Clippers, Boniface N'Dong,,activated from IL
8878,07/04/2006,Hornets,, Brandon Bass,placed on IL
8879,07/04/2006,Hornets,, Marcus Fizer,placed on IL
8880,07/04/2006,Hornets, Desmond Mason,,activated from IL
8881,07/04/2006,Hornets, P.J. Brown,,activated from IL
8882,07/04/2006,Pacers,, David Harrison,placed on IL
8883,07/04/2006,Pacers, Fred Jones,,activated from IL
8884,07/04/2006,Pistons,, Richard Hamilton,placed on IL with death in family
8885,07/04/2006,Pistons, Jason Maxiell,,activated from IL
8886,07/04/2006,Sonics, Nick Collison,,activated from IL
8887,07/04/2006,Spurs,, Robert Horry,placed on IL with death in family
8888,07/04/2006,Spurs, Sean Marks,,activated from IL
8889,07/04/2006,Wizards,, Caron Butler,placed on IL with sprained right thumb
8890,07/04/2006,Wizards, Awvee Storey,,activated from IL
